timestamp,corridor_id,actual_speed_kmph,free_flow_speed_kmph,actual_travel_time_sec,free_flow_travel_time_sec,congestion_index,rainfall_mm,temperature_c,day_of_week,is_weekend,is_holiday,road_type,wind_speed_mps,weather_code,functional_class,lanes,capacity_total,lag_15,lag_30,lag_60,rolling_1h_avg
2026-07-29T00:00:00Z,koth-001,47.040,48.000,62.755,61.500,1.020408,0.00,24.52,2,false,false,arterial,1.20,0,2,2,2400,1.020408,1.020408,1.020408,1.024985
2026-07-29T00:15:00Z,koth-001,45.238,48.000,65.255,61.500,1.061055,0.00,24.47,2,false,false,arterial,1.20,0,2,2,2400,1.020408,1.020408,1.038714,1.024985
2026-07-29T00:30:00Z,koth-001,46.548,48.000,63.418,61.500,1.031194,0.00,24.43,2,false,false,arterial,1.20,0,2,2,2400,1.061055,1.020408,1.020408,1.030570
2026-07-29T00:45:00Z,koth-001,46.093,48.000,64.044,61.500,1.041373,0.00,24.41,2,false,false,arterial,1.20,0,2,2,2400,1.031194,1.061055,1.020408,1.033266
2026-07-29T01:00:00Z,koth-001,44.594,48.000,66.197,61.500,1.076378,0.00,24.40,2,false,false,arterial,1.52,0,2,2,2400,1.041373,1.031194,1.020408,1.038507
2026-07-29T01:15:00Z,koth-001,44.804,48.000,65.887,61.500,1.071333,0.00,24.41,2,false,false,arterial,1.52,0,2,2,2400,1.076378,1.041373,1.061055,1.052500
2026-07-29T01:30:00Z,koth-001,47.040,48.000,62.755,61.500,1.020408,0.00,24.43,2,false,false,arterial,1.52,0,2,2,2400,1.071333,1.076378,1.031194,1.055069
2026-07-29T01:45:00Z,koth-001,46.635,48.000,63.300,61.500,1.029270,0.00,24.47,2,false,false,arterial,1.52,0,2,2,2400,1.020408,1.071333,1.041373,1.052373
2026-07-29T02:00:00Z,koth-001,46.221,48.000,63.867,61.500,1.038489,0.00,24.52,2,false,false,arterial,1.84,0,2,2,2400,1.029270,1.020408,1.076378,1.049347
2026-07-29T02:15:00Z,koth-001,46.562,48.000,63.399,61.500,1.030884,0.00,24.59,2,false,false,arterial,1.84,0,2,2,2400,1.038489,1.029270,1.071333,1.039875
2026-07-29T02:30:00Z,koth-001,43.773,48.000,67.439,61.500,1.096566,0.00,24.67,2,false,false,arterial,1.84,0,2,2,2400,1.030884,1.038489,1.020408,1.029763
2026-07-29T02:45:00Z,koth-001,47.040,48.000,62.755,61.500,1.020408,0.00,24.77,2,false,false,arterial,1.84,0,2,2,2400,1.096566,1.030884,1.029270,1.048802
2026-07-29T03:00:00Z,koth-001,46.565,48.000,63.395,61.500,1.030817,0.00,24.88,2,false,false,arterial,2.16,0,2,2,2400,1.020408,1.096566,1.038489,1.046587
2026-07-29T03:15:00Z,koth-001,44.991,48.000,65.613,61.500,1.066880,0.00,25.01,2,false,false,arterial,2.16,0,2,2,2400,1.030817,1.020408,1.030884,1.044669
2026-07-29T03:30:00Z,koth-001,46.272,48.000,63.797,61.500,1.037344,0.00,25.14,2,false,false,arterial,2.16,0,2,2,2400,1.066880,1.030817,1.096566,1.053668
2026-07-29T03:45:00Z,koth-001,46.184,48.000,63.918,61.500,1.039321,0.00,25.29,2,false,false,arterial,2.16,0,2,2,2400,1.037344,1.066880,1.020408,1.038862
2026-07-29T04:00:00Z,koth-001,45.934,48.000,64.266,61.500,1.044978,0.00,25.45,2,false,false,arterial,2.48,0,2,2,2400,1.039321,1.037344,1.030817,1.043591
2026-07-29T04:15:00Z,koth-001,47.040,48.000,62.755,61.500,1.020408,0.00,25.63,2,false,false,arterial,2.48,0,2,2,2400,1.044978,1.039321,1.066880,1.047131
2026-07-29T04:30:00Z,koth-001,47.040,48.000,62.755,61.500,1.020408,0.00,25.81,2,false,false,arterial,2.48,0,2,2,2400,1.020408,1.044978,1.037344,1.035513
2026-07-29T04:45:00Z,koth-001,46.567,48.000,63.393,61.500,1.030773,0.00,26.00,2,false,false,arterial,2.48,0,2,2,2400,1.020408,1.020408,1.039321,1.031279
